Airport Code,Year,Month,Domestic Passengers,International Passengers,Total Passengers
ACY,2015,Feb,96431,65,96496
ACY,2015,Aug,108700,1932,110632
ACY,2015,Sep,82268,315,82583
ACY,2015,Jan,98177,90,98267
ACY,2015,Jul,109247,1894,111141
ACY,2015,Dec,101600,28,101628
ACY,2015,Jun,96259,1102,97361
ACY,2015,May,103668,425,104093
ACY,2015,Oct,80901,443,81344
ACY,2015,Nov,94358,0,94358
ACY,2015,Mar,116493,197,116690
ACY,2015,Apr,105539,161,105700
ACY,2014,Sep,82746,390,83136
ACY,2014,Aug,120123,391,120514
ACY,2014,Oct,84602,389,84991
ACY,2014,Jul,117340,345,117685
ACY,2014,Nov,96177,0,96177
ACY,2014,Jan,92421,0,92421
ACY,2014,Mar,109670,328,109998
ACY,2014,Dec,94808,87,94895
ACY,2014,Apr,104606,321,104927
ACY,2014,May,110098,183,110281
ACY,2014,Jun,105645,594,106239
ACY,2014,Feb,90255,148,90403
ACY,2013,Nov,91268,135,91403
ACY,2013,Jul,111305,262,111567
ACY,2013,Mar,91008,189,91197
ACY,2013,Jan,87375,190,87565
ACY,2013,Oct,84399,263,84662
ACY,2013,Dec,87718,174,87892
ACY,2013,Sep,84462,191,84653
ACY,2013,Feb,81750,380,82130
ACY,2013,Apr,84615,258,84873
ACY,2013,Jun,103145,412,103557
ACY,2013,May,105865,256,106121
EWR,2015,Dec,2246931,985488,3232419
EWR,2015,Jan,1752923,859391,2612314
EWR,2015,Aug,2337288,1193457,3530745
EWR,2015,Jul,2365862,1206907,3572769
EWR,2015,Mar,2100937,966561,3067498
EWR,2015,Oct,2294497,934115,3228612
EWR,2015,Jun,2221812,1058265,3280077
EWR,2015,Feb,1672285,756925,2429210
EWR,2015,May,2206415,1016979,3223394
EWR,2015,Nov,2229996,867000,3096996
EWR,2015,Apr,2185274,998458,3183732
EWR,2015,Sep,2078293,958645,3036938
EWR,2014,Apr,1930639,1004416,2935055
EWR,2014,Feb,1516373,705458,2221831
EWR,2014,Mar,2083400,972277,3055677
EWR,2014,Oct,1998120,948789,2946909
EWR,2014,Jun,2127517,1086405,3213922
EWR,2014,Sep,1901935,946522,2848457
EWR,2014,May,1975965,1021638,2997603
EWR,2014,Jul,2199312,1259153,3458465
EWR,2014,Dec,2111214,1025930,3137144
EWR,2014,Nov,1973000,864816,2837816
EWR,2014,Aug,2241203,1170468,3411671
EWR,2014,Jan,1703949,842188,2546137
EWR,2013,Sep,1871483,913183,2784666
EWR,2013,Feb,1560610,715604,2276214
EWR,2013,Mar,2013283,967565,2980848
EWR,2013,Aug,2212564,1114241,3326805
EWR,2013,Apr,1993255,961340,2954595
EWR,2013,Jun,2099121,1049029,3148150
EWR,2013,May,2072108,999838,3071946
EWR,2013,Jan,1693676,858481,2552157
EWR,2013,Nov,1900713,796919,2697632
EWR,2013,Oct,2026810,916916,2943726
EWR,2013,Dec,2080988,893047,2974035
EWR,2013,Jul,2192226,1113236,3305462
JFK,2015,Sep,2134468,2647629,4782097
JFK,2015,Oct,2328298,2571768,4900066
JFK,2015,Jun,2380699,2773121,5153820
JFK,2015,May,2359873,2605811,4965684
JFK,2015,Jul,2530151,3117712,5647863
JFK,2015,Dec,2240741,2456752,4697493
JFK,2015,Nov,2137376,2204682,4342058
JFK,2015,Feb,1806434,1718574,3525008
JFK,2015,Apr,2252631,2381501,4634132
JFK,2015,Mar,2209055,2208031,4417086
JFK,2015,Aug,2535971,3273753,5809724
JFK,2015,Jan,1891156,2060967,3952123
JFK,2014,Mar,2050809,2083681,4134490
JFK,2014,Nov,1968395,1991784,3960179
JFK,2014,Sep,2094037,2446975,4541012
JFK,2014,Dec,2156699,2290822,4447521
JFK,2014,Oct,2164407,2348874,4513281
JFK,2014,Jul,2344328,2888135,5232463
JFK,2014,Jan,1733180,1999728,3732908
JFK,2014,Feb,1600197,1640381,3240578
JFK,2014,May,2194904,2493662,4688566
JFK,2014,Aug,2410907,3066280,5477187
JFK,2014,Jun,2209709,2628862,4838571
JFK,2014,Apr,2093860,2317134,4410994
JFK,2013,Mar,2081615,2085558,4167173
JFK,2013,Nov,1813415,1904207,3717622
JFK,2013,Feb,1636127,1546573,3182700
JFK,2013,Dec,2042240,2252910,4295150
JFK,2013,Jun,2106371,2489940,4596311
JFK,2013,Aug,2268278,2820169,5088447
JFK,2013,Sep,1904407,2306002,4210409
JFK,2013,Oct,1991650,2217538,4209188
JFK,2013,Jan,1837638,1889308,3726946
JFK,2013,Apr,1925830,2039148,3964978
JFK,2013,Jul,2241887,2726286,4968173
JFK,2013,May,2059717,2263544,4323261
